Language;Achi;Aguacateco;Akateko;Chorti;Chuj;Garifuna
formal_you_2sg;distinct;no;no;no;no;no
formal_you_2pl;distinct;no;no;no;no;no
values;present;absent;absent;absent;absent;absent
number of noun classifiers;6;2;N/A;2;3;2
type of classifiers;personal;personal;N/A;personal;personal;personal
personal_distinction_of_classifiers;gender & age;gender;N/A;gender;gender & animacy;gender
free_use of classifiers;N/A;yes;N/A;no;no;no
obligatority of classifiers;N/A;no;N/A;yes;no;yes
ergative_split in main_clause incpl;no;no;no;no;no;no
ergative_split in main_clause prog;no;no;no;no;no;yes
ergative_split in main_clause pot;no;no;no;no;no;no
ergative_split in main_clause averbs;no;no;no;no;no;no
egrative split in sub clauses;no;no;no;yes;no;no
Language;Itza;Ixil;Sacapulteco;Sipacapense;Xinca;
number of vowels;11;10;10;10;6;
lax/tense vowels;no;no;no;no;no;
vowel length;yes;yes;yes;yes;no;
schwa;yes;no;no;no;yes;
harmony;yes;(o/u harmony);no;no;yes по ряду;
tone;no;no;no;no;no;
number of pronominal series;2;2;2;2;7;
SetA_1sg;prefix;prefix;prefix;prefix;prefix;
SetA_2sg;prefix;prefix;prefix;prefix;prefix;
SetA_3sg;prefix;prefix;prefix;prefix;prefix;
SetA_1pl;circumfix;prefix;prefix;prefix;prefix;
SetA_2pl;circumfix;prefix;prefix;prefix;prefix;
SetA_3pl;circumfix;prefix;prefix;prefix;prefix;
SetA_values;mixed;prefix;prefix;prefix;prefix;
SetA_values;mixed;praeposition;praeposition;praeposition;praeposition;
SetB_1sg;suffix;suffix;prefix;prefix;suffix;
SetB_2sg;suffix;suffix;prefix;prefix;suffix;
SetB_3sg;suffix/Ø;suffix/Ø;Ø;Ø;suffix;
SetB_1pl;suffix;suffix;prefix;prefix;suffix;
SetB_2pl;suffix;suffix;prefix;prefix;suffix;
SetB_3pl;suffix;suffix;prefix;prefix;suffix;
SetB_values_position;suffix;suffix;prefix;prefix;suffix;
SetB_values_zero;3sg;3sg;3sg;3sg;no;
circumfix set A + set B;yes;no;no;no;no;
order of basic constituents;SVO;SVO;OSV;OSV;SVO;
clusiveness_1pl;present;absent;absent;absent;present;
clusiveness_2pl;no;no;no;no;no;
formal_you_2sg;no;=2pl;distinct;=2pl;distinct;
formal_you_2pl;no;=2pl;distinct;=2pl;distinct;
values;absent;present;present;present;present;
