Family;Group;Language;Location;Altitude;Longitude
Mayan;K'ichean;K'iche';San Francisco La Unión;14.916667;-91.533333
Mayan;K'ichean;K'iche';San Carlos Sija;14.983333;-91.55
Mayan;K'ichean;K'iche';Santa Cruz Muluá;14.583333;-91.616667
Mayan;K'ichean;Achi;Rabinal;15.108333;-90.5
Mayan;K'ichean;Achi;Joyabaj;14.995;-90.8075
Mayan;K'ichean;Achi;San Miguel Chicaj;15.1;-90.4
Mayan;K'ichean;Achi;San Gabriel Pansuy;15.130084;-90.417861
Mayan;K'ichean;Achi;Salamá;15.103333;-90.266667
Mayan;K'ichean;Achi;San Jerónimo;15.061111;-90.240278
Mayan;K'ichean;Achi;Granados;14.913889;-90.523333
Mayan;K'ichean;Achi;Santa Cruz el Chol;14.961111;-90.487778
Mayan;K'ichean;Achi;San Miguel Chicaj;15.1;-90.4
Mayan;K'ichean;Achi;Santa Ana;16.8069;-89.8272
Mayan;K'ichean;Achi;Samayac;14.582111;-91.460991
Mayan;K'ichean;Kaqchikel;San Miguel Panán;14.533333;-91.366667
Mayan;K'ichean;Kaqchikel;Santo Domingo Suchitepéquez;14.466667;-91.483333
Mayan;K'ichean;Kaqchikel;Santa Bárbara;14.4333;-91.2333
Mayan;K'ichean;Kaqchikel;Mazatenango;14.533333;-91.5
Mayan;K'ichean;Kaqchikel;San Antonio Suchitepéquez;14.533333;-91.416667
Mayan;K'ichean;Kaqchikel;Sumpango;14.647752;-90.734775
Mayan;K'ichean;Kaqchikel;Santa Catarina Barahona;14.55;-90.783333
Mayan;K'ichean;Kaqchikel;Santa Cruz Muluá;14.583333;-91.616667
Mayan;K'ichean;Kaqchikel;San José;13.922778;-90.819444
Mayan;K'ichean;Kaqchikel;Joyabaj;14.995;-90.8075
Mayan;K'ichean;Kaqchikel;Río Bravo;14.4;-91.3167
Mayan;K'ichean;Kaqchikel;Cuyotenango;14.542075;-91.572334
Mayan;K'ichean;Kaqchikel;Patulul;14.416667;-91.166667
Mayan;K'ichean;Kaqchikel;Sololá;14.766667;-91.183333
Mayan;K'ichean;Kaqchikel;San Marcos La Laguna;14.724832;-91.258883
Mayan;K'ichean;Kaqchikel;San Lucas Tolimán;14.633333;-91.133333
Mayan;K'ichean;Kaqchikel;San Antonio Palopó;14.7;-91.116667
Mayan;K'ichean;Kaqchikel;Santa Catarina Palopó;14.716667;-91.133333
Mayan;K'ichean;Kaqchikel;San Andrés Semetabaj;14.745;-91.135
Mayan;K'ichean;Kaqchikel;San Raymundo;14.7647;-90.5956
Mayan;K'ichean;Kaqchikel;San José Chacayá;14.766667;-91.216667
Mayan;K'ichean;Kaqchikel;Santa Cruz La Laguna;14.7445;-91.207
Mayan;K'ichean;Kaqchikel;Tecpán;14.7667;-91
Mayan;K'ichean;Kaqchikel;Patzún;14.683333;-91.016667
Mayan;K'ichean;Kaqchikel;Patzicía;14.631667;-90.926944
Mayan;K'ichean;Kaqchikel;Acatenango;14.554444;-90.943889
Mayan;K'ichean;Kaqchikel;Chuarrancho;14.816667;-90.516667
Mayan;K'ichean;Kaqchikel;San José Poaquíl;14.816667;-90.9
Mayan;K'ichean;Kaqchikel;San Martín Jilotepeque;14.783046;-90.794213
Mayan;K'ichean;Kaqchikel;San Andrés Itzapa;14.616667;-90.85
Mayan;K'ichean;Kaqchikel;Pochuta;14.55;-91.083333
Mayan;K'ichean;Kaqchikel;Yepocapa;14.5;-90.95
Mayan;K'ichean;Kaqchikel;San Juan Comalapa;14.733333;-90.883333
Mayan;K'ichean;Kaqchikel;Santa María Cauqué;14.638887;-90.692928
Mayan;K'ichean;Kaqchikel;San Antonio Aguas Calientes;14.533333;-90.766667
Mayan;K'ichean;Kaqchikel;Santa María De Jesús;14.493333;-90.709444
Mayan;K'ichean;Kaqchikel;Santo Domingo Xenacoj;14.682188;-90.706647
Mayan;K'ichean;Kaqchikel;San Juan Sacatepéquez;14.718889;-90.644167
Mayan;K'ichean;Kaqchikel;Chimaltenango;14.662222;-90.820833
